"data_deteccao","longitude","latitude","data_quebra","magnitude","r2_historico","n_obs"
"2026-09-04",-44.7866313838839,-20.9678016254548,"2026-08-28",0.050949,0.3179,328
"2026-09-04",-44.7866313838839,-20.9666338155854,"2026-01-14",0.075837,0.3115,328
"2026-09-04",-44.7866313838839,-20.9662744894718,"2026-06-23",0.10254,0.1952,326
"2026-09-04",-44.7866313838839,-20.9661846579434,"2026-01-14",0.197331,0.2322,324
"2026-09-04",-44.7866313838839,-20.966094826415,"2026-01-14",0.197331,0.2322,324
"2026-09-04",-44.7866313838839,-20.9660049948865,"2026-01-14",0.172221,0.2306,323
"2026-09-04",-44.7865415523555,-20.9693287614378,"2026-06-28",0.046846,0.3519,324
"2026-09-04",-44.7865415523555,-20.9692389299094,"2026-06-04",0.069308,0.3524,322
"2026-09-04",-44.7865415523555,-20.969149098381,"2026-09-03",0.056209,0.3639,321
"2026-09-04",-44.7865415523555,-20.9689694353241,"2026-08-28",0.046168,0.3987,321
"2026-09-04",-44.7865415523555,-20.9686999407389,"2026-01-14",-0.011894,0.3445,319
"2026-09-04",-44.7865415523555,-20.9686101092105,"2026-01-14",-0.05779,0.3063,320
"2026-09-04",-44.7865415523555,-20.9685202776821,"2026-01-14",-0.091113,0.2603,322
"2026-09-04",-44.7865415523555,-20.9684304461537,"2026-01-09",-0.126514,0.2411,323
"2026-09-04",-44.7865415523555,-20.9683406146253,"2026-01-09",-0.161748,0.2421,323
"2026-09-04",-44.7865415523555,-20.9682507830968,"2026-01-09",-0.131466,0.2474,324
"2026-09-04",-44.7865415523555,-20.9681609515684,"2026-01-09",-0.08483,0.2529,326
"2026-09-04",-44.7865415523555,-20.96807112004,"2026-01-09",-0.090783,0.2608,324
"2026-09-04",-44.7865415523555,-20.9679812885116,"2026-01-09",-0.103906,0.2847,323
"2026-09-04",-44.7865415523555,-20.9678016254548,"2026-08-02",0.059264,0.3459,327
"2026-09-04",-44.7865415523555,-20.9662744894718,"2026-06-23",0.10254,0.1952,326
"2026-09-04",-44.7865415523555,-20.9661846579434,"2026-01-14",0.197331,0.2322,324
"2026-09-04",-44.7865415523555,-20.966094826415,"2026-01-14",0.197331,0.2322,324
"2026-09-04",-44.7865415523555,-20.9660049948865,"2026-01-14",0.172221,0.2306,323
"2026-09-04",-44.7865415523555,-20.9659151633581,"2026-01-14",0.151026,0.209,322
"2026-09-04",-44.7864517208271,-20.9689694353241,"2026-08-28",0.028161,0.3872,320
"2026-09-04",-44.7864517208271,-20.9686101092105,"2026-01-09",-0.028882,0.2586,321
"2026-09-04",-44.7864517208271,-20.9685202776821,"2026-01-09",-0.052335,0.2506,322
"2026-09-04",-44.7864517208271,-20.9684304461537,"2026-01-09",-0.043573,0.2523,323
"2026-09-04",-44.7864517208271,-20.9683406146253,"2026-01-09",-0.073103,0.2475,323
"2026-09-04",-44.7864517208271,-20.9682507830968,"2026-01-09",-0.090691,0.2576,323
"2026-09-04",-44.7864517208271,-20.9681609515684,"2026-01-09",-0.047404,0.2733,324
"2026-09-04",-44.7864517208271,-20.96807112004,"2026-01-09",-0.054166,0.263,325
"2026-09-04",-44.7864517208271,-20.9679812885116,"2026-01-09",-0.081552,0.3056,324
"2026-09-04",-44.7864517208271,-20.9678016254548,"2026-08-07",0.063183,0.3404,327
"2026-09-04",-44.7864517208271,-20.9662744894718,"2026-07-03",0.070951,0.082,326
"2026-09-04",-44.7864517208271,-20.9661846579434,"2026-07-03",0.070951,0.082,326
"2026-09-04",-44.7864517208271,-20.966094826415,"2026-01-14",0.14794,0.1655,325
"2026-09-04",-44.7864517208271,-20.9660049948865,"2026-01-09",0.126773,0.2117,326
"2026-09-04",-44.7864517208271,-20.9659151633581,"2026-01-09",0.132294,0.1952,324
"2026-09-04",-44.7864517208271,-20.9658253318297,"2026-01-09",0.146663,0.1633,324
"2026-09-04",-44.7863618892987,-20.9702270767219,"2026-08-28",0.093764,0.4797,324
"2026-09-04",-44.7863618892987,-20.9701372451935,"2026-06-28",0.068602,0.4288,323
"2026-09-04",-44.7863618892987,-20.9700474136651,"2026-07-29",0.076603,0.416,322
"2026-09-04",-44.7863618892987,-20.9686101092105,"2026-01-09",0.004997,0.2643,322
"2026-09-04",-44.7863618892987,-20.9685202776821,"2026-01-09",-0.008483,0.2693,321
"2026-09-04",-44.7863618892987,-20.9684304461537,"2026-01-09",-0.004446,0.2713,324
"2026-09-04",-44.7863618892987,-20.9683406146253,"2026-01-09",-0.031217,0.2641,324
"2026-09-04",-44.7863618892987,-20.9682507830968,"2026-01-09",-0.058389,0.2601,323
"2026-09-04",-44.7863618892987,-20.9681609515684,"2026-01-09",-0.042022,0.2724,324
"2026-09-04",-44.7863618892987,-20.96807112004,"2026-01-09",-0.058928,0.2681,324
"2026-09-04",-44.7863618892987,-20.9679812885116,"2026-01-09",-0.082593,0.3285,324
"2026-09-04",-44.7863618892987,-20.9662744894718,"2026-06-28",0.059932,0.0914,324
"2026-09-04",-44.7863618892987,-20.9661846579434,"2026-06-28",0.059932,0.0914,324
"2026-09-04",-44.7863618892987,-20.966094826415,"2026-01-09",0.124988,0.1673,325
"2026-09-04",-44.7863618892987,-20.9660049948865,"2026-01-09",0.13203,0.1841,326
"2026-09-04",-44.7863618892987,-20.9659151633581,"2026-01-09",0.133938,0.1612,326
"2026-09-04",-44.7863618892987,-20.9658253318297,"2026-01-09",0.129125,0.1393,326
"2026-09-04",-44.7862720577702,-20.9701372451935,"2026-08-28",0.062245,0.4195,323
"2026-09-04",-44.7862720577702,-20.9686101092105,"2026-01-09",0.008684,0.2632,322
"2026-09-04",-44.7862720577702,-20.9685202776821,"2026-01-09",-0.010922,0.275,323
"2026-09-04",-44.7862720577702,-20.9684304461537,"2026-01-09",-0.022284,0.2897,324
"2026-09-04",-44.7862720577702,-20.9683406146253,"2026-01-09",-0.040772,0.2766,325
"2026-09-04",-44.7862720577702,-20.9682507830968,"2026-01-09",-0.046551,0.2694,325
"2026-09-04",-44.7862720577702,-20.9681609515684,"2026-01-09",-0.027667,0.2771,324
"2026-09-04",-44.7862720577702,-20.96807112004,"2026-01-09",-0.055738,0.2741,327
"2026-09-04",-44.7862720577702,-20.966094826415,"2026-04-30",0.126979,0.1508,326
"2026-09-04",-44.7862720577702,-20.9660049948865,"2026-01-09",0.143164,0.1796,325
"2026-09-04",-44.7862720577702,-20.9659151633581,"2026-01-09",0.130791,0.1521,325
"2026-09-04",-44.7862720577702,-20.9658253318297,"2026-01-09",0.127415,0.1506,328
"2026-09-04",-44.7862720577702,-20.9657355003013,"2026-01-09",0.100333,0.1214,327
"2026-09-04",-44.7861822262418,-20.9687897722673,"2026-01-09",0.037792,0.2738,323
"2026-09-04",-44.7861822262418,-20.9686999407389,"2026-01-09",0.033209,0.2574,324
"2026-09-04",-44.7861822262418,-20.9686101092105,"2026-01-09",-0.011037,0.2418,324
"2026-09-04",-44.7861822262418,-20.9685202776821,"2026-01-09",-0.022362,0.2593,325
"2026-09-04",-44.7861822262418,-20.9684304461537,"2026-01-09",-0.03037,0.2915,325
"2026-09-04",-44.7861822262418,-20.9683406146253,"2026-01-09",-0.044635,0.2852,326
"2026-09-04",-44.7861822262418,-20.9682507830968,"2026-01-09",-0.025533,0.2828,326
"2026-09-04",-44.7861822262418,-20.9681609515684,"2026-01-09",-0.001968,0.2845,328
"2026-09-04",-44.7861822262418,-20.96807112004,"2026-01-09",-0.014552,0.3197,327
"2026-09-04",-44.7861822262418,-20.9662744894718,"2026-06-19",0.060258,0.1044,329
"2026-09-04",-44.7861822262418,-20.9661846579434,"2026-06-19",0.060258,0.1044,329
"2026-09-04",-44.7861822262418,-20.966094826415,"2026-04-30",0.12592,0.1518,328
"2026-09-04",-44.7861822262418,-20.9660049948865,"2026-01-09",0.124611,0.1763,325
"2026-09-04",-44.7861822262418,-20.9659151633581,"2026-01-09",0.109515,0.1505,326
"2026-09-04",-44.7861822262418,-20.9658253318297,"2026-01-09",0.122871,0.1463,328
"2026-09-04",-44.7861822262418,-20.9657355003013,"2026-01-09",0.132175,0.1381,327
"2026-09-04",-44.7861822262418,-20.9656456687729,"2026-01-09",0.124698,0.0946,328
"2026-09-04",-44.7860923947134,-20.9687897722673,"2026-01-09",0.048876,0.2834,323
"2026-09-04",-44.7860923947134,-20.9686999407389,"2026-01-09",0.024912,0.2775,324
"2026-09-04",-44.7860923947134,-20.9686101092105,"2026-01-09",-0.005989,0.2691,326
"2026-09-04",-44.7860923947134,-20.9685202776821,"2026-01-09",-0.0136,0.2793,326
"2026-09-04",-44.7860923947134,-20.9684304461537,"2026-01-09",-0.023366,0.3069,328
"2026-09-04",-44.7860923947134,-20.9683406146253,"2026-01-09",-0.050248,0.2977,327
"2026-09-04",-44.7860923947134,-20.9682507830968,"2026-01-09",-0.035772,0.2809,328
"2026-09-04",-44.7860923947134,-20.9681609515684,"2026-01-09",-0.010112,0.3064,327
"2026-09-04",-44.7860923947134,-20.9679812885116,"2026-06-19",0.083595,0.3998,326
"2026-09-04",-44.7860923947134,-20.9661846579434,"2026-01-09",0.083583,0.1447,328
"2026-09-04",-44.7860923947134,-20.966094826415,"2026-01-09",0.105666,0.1928,327
"2026-09-04",-44.7860923947134,-20.9660049948865,"2026-01-09",0.098245,0.2127,328
"2026-09-04",-44.786002563185,-20.9686101092105,"2026-01-09",-0.009769,0.2893,328
