"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7780075571563,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2388,0.3146,2025-09-22,-0.079553,-0.013334,NA
-44.7780075571563,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.245,0.3195,2024-08-18,-0.313314,-0.113342,NA
-44.7780075571563,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.256,0.3205,2024-08-03,-0.282307,-0.138112,NA
-44.7780075571563,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2602,0.3188,2024-08-03,-0.281919,-0.135372,NA
-44.7780075571563,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2723,0.3117,2024-07-19,-0.256788,-0.153541,NA
-44.7780075571563,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2862,0.3078,2024-07-14,-0.244237,-0.14941,NA
-44.7780075571563,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.2859,0.3058,2024-07-14,-0.247077,-0.157617,NA
-44.7780075571563,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.2805,0.3056,2024-07-14,-0.253353,-0.150032,NA
-44.7780075571563,-20.96807112004,583,2019-01-02,2021-05-31,177,0.2805,0.3056,2024-07-14,-0.253353,-0.150032,NA
-44.7780075571563,-20.9681609515684,583,2019-01-02,2021-05-31,177,0.2808,0.3087,2024-07-09,-0.277372,-0.147552,NA
-44.7780075571563,-20.9682507830968,583,2019-01-02,2021-05-31,177,0.2861,0.3089,2024-07-09,-0.276082,-0.15091,NA
-44.7780075571563,-20.9683406146253,583,2019-01-02,2021-05-31,177,0.2823,0.3072,2024-06-24,-0.24544,-0.161869,NA
-44.7780075571563,-20.9684304461537,583,2019-01-02,2021-05-31,177,0.267,0.3113,2024-06-19,-0.276636,-0.150815,NA
-44.7780075571563,-20.9685202776821,583,2019-01-02,2021-05-31,177,0.2441,0.3142,2024-07-09,-0.257665,-0.140771,NA
-44.7780075571563,-20.9686101092105,583,2019-01-02,2021-05-31,177,0.2067,0.2994,2024-08-28,-0.195463,-0.093844,NA
-44.7780075571563,-20.9686999407389,583,2019-01-02,2021-05-31,177,0.1884,0.2867,NA,NA,-0.020004,NA
-44.7780973886848,-20.9669033101707,583,2019-01-02,2021-05-31,177,0.235,0.3173,NA,NA,0.078567,NA
-44.7780973886848,-20.9669931416991,583,2019-01-02,2021-05-31,177,0.2355,0.321,NA,NA,0.093647,NA
-44.7780973886848,-20.9670829732275,583,2019-01-02,2021-05-31,177,0.2383,0.3229,NA,NA,0.105617,NA
-44.7780973886848,-20.9671728047559,583,2019-01-02,2021-05-31,177,0.2401,0.3198,NA,NA,0.09796,NA
-44.7780973886848,-20.9672626362843,583,2019-01-02,2021-05-31,177,0.2406,0.313,NA,NA,0.06841,NA
-44.7780973886848,-20.9673524678127,583,2019-01-02,2021-05-31,177,0.2496,0.3135,2024-10-07,-0.227547,-0.056227,NA
-44.7780973886848,-20.9674422993411,583,2019-01-02,2021-05-31,177,0.2556,0.3183,2024-07-29,-0.279728,-0.128889,NA
-44.7780973886848,-20.9675321308695,583,2019-01-02,2021-05-31,177,0.2609,0.319,2024-08-03,-0.289361,-0.142087,NA
-44.7780973886848,-20.967621962398,583,2019-01-02,2021-05-31,177,0.2607,0.3178,2024-07-29,-0.280058,-0.138552,NA
-44.7780973886848,-20.9677117939264,583,2019-01-02,2021-05-31,177,0.2751,0.3106,2024-07-19,-0.266465,-0.150817,NA
-44.7780973886848,-20.9678016254548,583,2019-01-02,2021-05-31,177,0.2873,0.3061,2024-07-14,-0.244859,-0.154167,NA
-44.7780973886848,-20.9678914569832,583,2019-01-02,2021-05-31,177,0.286,0.3042,2024-07-14,-0.270381,-0.145714,NA
-44.7780973886848,-20.9679812885116,583,2019-01-02,2021-05-31,177,0.284,0.306,2024-07-09,-0.272953,-0.151777,NA
-44.7780973886848,-20.96807112004,583,2019-01-02,2021-05-31,177,0.284,0.306,2024-07-09,-0.272953,-0.151777,NA
