"longitude","latitude","n_obs","historico_inicio","historico_fim","n_historico","r2_historico","sigma_historico","data_quebra","desvio_quebra","magnitude","aviso"
-44.7779177256279,-20.9684304461537,321,2019-01-07,2021-05-26,88,0.6223,0.0985,2023-04-11,0.078547,-0.226107,NA
-44.7779177256279,-20.9685202776821,319,2019-01-07,2021-05-26,87,0.5887,0.0867,2023-05-21,0.067439,-0.232627,NA
-44.7779177256279,-20.9686101092105,324,2019-01-07,2021-05-26,86,0.6241,0.0608,2023-08-24,-0.017384,-0.215283,NA
-44.7779177256279,-20.9686999407389,324,2019-01-07,2021-05-26,86,0.637,0.0535,2023-08-19,-0.002837,-0.159349,NA
-44.7780075571563,-20.9669931416991,320,2019-01-07,2021-05-26,87,0.7818,0.0447,2021-08-14,0.00569,0.009186,NA
-44.7780075571563,-20.9670829732275,321,2019-01-07,2021-05-26,87,0.7582,0.0456,2021-08-14,0.006745,-0.004968,NA
-44.7780075571563,-20.9671728047559,323,2019-01-07,2021-05-26,87,0.7144,0.0494,2021-08-14,0.005543,-0.00192,NA
-44.7780075571563,-20.9672626362843,322,2019-01-07,2021-05-26,85,0.7603,0.0483,2021-08-19,0.007851,-0.006028,NA
-44.7780075571563,-20.9673524678127,323,2019-01-07,2021-05-26,85,0.7781,0.059,2021-09-13,-0.049106,-0.094808,NA
-44.7780075571563,-20.9674422993411,321,2019-01-07,2021-05-26,85,0.661,0.0896,2023-09-13,-0.016442,-0.121942,NA
-44.7780075571563,-20.9675321308695,321,2019-01-07,2021-05-26,86,0.6448,0.0976,2023-09-08,-0.025708,-0.121062,NA
-44.7780075571563,-20.967621962398,321,2019-01-07,2021-05-26,87,0.6506,0.0995,2023-09-08,-0.026549,-0.111137,NA
-44.7780075571563,-20.9677117939264,319,2019-01-07,2021-05-26,87,0.7064,0.0915,2022-04-16,0.058079,-0.123912,NA
-44.7780075571563,-20.9678016254548,320,2019-01-07,2021-05-26,88,0.7489,0.0837,2022-03-27,0.056425,-0.134056,NA
-44.7780075571563,-20.9678914569832,320,2019-01-07,2021-05-26,88,0.7753,0.0798,2022-03-22,0.064253,-0.158306,NA
-44.7780075571563,-20.9679812885116,317,2019-01-07,2021-05-26,88,0.781,0.0771,2022-03-02,0.040127,-0.137912,NA
-44.7780075571563,-20.96807112004,317,2019-01-07,2021-05-26,88,0.781,0.0771,2022-03-02,0.040127,-0.137912,NA
-44.7780075571563,-20.9681609515684,319,2019-01-07,2021-05-26,88,0.7382,0.0846,2022-03-22,0.059973,-0.134351,NA
-44.7780075571563,-20.9682507830968,320,2019-01-07,2021-05-26,88,0.7067,0.0899,2022-04-16,0.062524,-0.149595,NA
-44.7780075571563,-20.9683406146253,322,2019-01-07,2021-05-26,88,0.6733,0.0935,2022-04-26,0.062662,-0.204664,NA
-44.7780075571563,-20.9684304461537,322,2019-01-07,2021-05-26,88,0.6307,0.0921,2023-04-26,0.07834,-0.227486,NA
-44.7780075571563,-20.9685202776821,320,2019-01-07,2021-05-26,87,0.6217,0.0703,2023-09-03,-0.023792,-0.243039,NA
-44.7780075571563,-20.9686101092105,321,2019-01-07,2021-05-26,86,0.6295,0.0572,2021-07-25,0.055359,-0.158537,NA
-44.7780075571563,-20.9686999407389,323,2019-01-07,2021-05-26,86,0.6736,0.0589,2021-06-25,0.056368,-0.10581,NA
